video_id,Deutschland,USA,Kanada,Großbritannien,total
BMG8WFMHaIE,1.0,0.0,0.0,0.0,1.0
0bCxv-ywJ58,1.0,0.0,0.0,0.0,1.0
ysrkpnZBFHo,1.0,0.0,0.0,0.0,1.0
sDKufEV-4wk,2.0,0.0,0.0,0.0,2.0
DupviAaffdk,1.0,0.0,1.0,0.0,2.0
GH7mctgTG9A,1.0,0.0,0.0,0.0,1.0
pcWKpGzhgq4,1.0,7.0,3.0,0.0,11.0
SKNjuBM_k9g,1.0,0.0,0.0,0.0,1.0
W739poSvmaI,1.0,0.0,0.0,0.0,1.0
LfFtRoyXwpw,1.0,0.0,0.0,0.0,1.0
dcd9a3CAumk,1.0,0.0,0.0,0.0,1.0
OdOmKn6Cn9s,1.0,0.0,0.0,0.0,1.0
0HEuEcR6azo,1.0,0.0,0.0,0.0,1.0
tgMvbPkFF7E,1.0,0.0,0.0,0.0,1.0
vBbWR-kCgVg,1.0,0.0,0.0,0.0,1.0
LBAIxgnypHo,1.0,0.0,0.0,0.0,1.0
d3G6WDI_i9s,1.0,0.0,0.0,0.0,1.0
wZRqe9wQCVk,1.0,0.0,0.0,0.0,1.0
coi37En-MFU,1.0,0.0,0.0,0.0,1.0
l8WRkRopW0c,1.0,0.0,0.0,0.0,1.0
tIwGaLOhPSM,1.0,0.0,0.0,0.0,1.0
o-b8Fssz4KQ,1.0,0.0,0.0,0.0,1.0
R1dmozPn3LI,1.0,0.0,0.0,0.0,1.0
HXE8Dz86p7k,1.0,0.0,0.0,0.0,1.0
iSb_z8m0ybE,1.0,0.0,0.0,0.0,1.0
llyuA7q2BkY,1.0,0.0,0.0,0.0,1.0
wl1mb6mLEYg,1.0,0.0,0.0,0.0,1.0
hgpYdGe5Czg,1.0,0.0,0.0,0.0,1.0
qHh_Zonq0W0,1.0,0.0,0.0,0.0,1.0
7JJJCxeJd-k,1.0,0.0,0.0,0.0,1.0
6fv7CqCjiJw,1.0,0.0,3.0,0.0,4.0
DQZc3pM2sC8,1.0,0.0,0.0,0.0,1.0
pavDCJZGRzc,1.0,0.0,0.0,0.0,1.0
xcg8S7ysGRc,1.0,0.0,0.0,0.0,1.0
PNUUL1DDSpU,1.0,0.0,0.0,0.0,1.0
tYT-JVCsCFw,1.0,0.0,0.0,0.0,1.0
QOZdPxGgcv4,1.0,0.0,0.0,0.0,1.0
qTKa9XZUoGI,1.0,0.0,0.0,0.0,1.0
8WQQbP5Xu04,2.0,0.0,0.0,0.0,2.0
XvKp77qPA-w,4.0,0.0,0.0,0.0,4.0
mnXnLeo54FA,5.0,0.0,0.0,0.0,5.0
nHojiun8LGU,1.0,0.0,0.0,0.0,1.0
SJJ637152e4,3.0,0.0,0.0,0.0,3.0
hqt16vTFJgc,2.0,0.0,0.0,0.0,2.0
8-Cjsnq8kVU,4.0,8.0,6.0,0.0,18.0
sJBAOvkmbNU,1.0,0.0,0.0,0.0,1.0
JuoPln48C7o,2.0,0.0,0.0,0.0,2.0
sottGW1p5os,1.0,1.0,1.0,1.0,4.0
ocTca4L3ugs,3.0,0.0,0.0,0.0,3.0
DcdoBrCvS9o,2.0,0.0,0.0,0.0,2.0
_A0N58-vVUI,1.0,0.0,0.0,0.0,1.0
CXZWqVA-pi8,2.0,0.0,0.0,0.0,2.0
Ehke7aPI9l0,2.0,0.0,3.0,0.0,5.0
fN2R8XNB0Jo,2.0,0.0,0.0,0.0,2.0
7dlsBmPbpis,2.0,0.0,0.0,0.0,2.0
TvUI233eaSg,3.0,0.0,0.0,0.0,3.0
yYrYchGElek,1.0,0.0,0.0,0.0,1.0
rQ8E3s-RKM8,1.0,0.0,0.0,0.0,1.0
5EdrxW8znNo,2.0,0.0,0.0,0.0,2.0
IcqZpTSUcZA,2.0,0.0,0.0,0.0,2.0
5nEogChRGE8,2.0,0.0,1.0,13.0,16.0
OV9n85JDEK8,1.0,0.0,0.0,0.0,1.0
JIeRy5RAeF8,3.0,0.0,0.0,0.0,3.0
uPJl261HzXI,1.0,0.0,0.0,0.0,1.0
RqccSEEO-5M,1.0,0.0,0.0,0.0,1.0
QcYyZ6_glcc,1.0,0.0,0.0,0.0,1.0
QfmIUoZej9Q,1.0,0.0,1.0,0.0,2.0
SXHXf9uBBlw,1.0,0.0,0.0,0.0,1.0
PCqg5O1wosg,1.0,0.0,0.0,0.0,1.0
a-n7gG5Z6gU,1.0,0.0,0.0,0.0,1.0
KPV4Pac3muA,2.0,0.0,2.0,0.0,4.0
CweLhvhnPYM,2.0,0.0,0.0,0.0,2.0
gx-u6oHEImA,2.0,0.0,0.0,0.0,2.0
4bFe8Eqrjio,1.0,0.0,0.0,0.0,1.0
ovZ-X6eHdXI,1.0,0.0,0.0,0.0,1.0
QAThntReX9g,1.0,0.0,0.0,0.0,1.0
zNKH2cIrutk,1.0,0.0,0.0,0.0,1.0
s6-VLl8-gSk,1.0,0.0,0.0,0.0,1.0
0nuW_0SBHoo,4.0,0.0,0.0,0.0,4.0
d9FgWxjAe0Y,2.0,0.0,0.0,0.0,2.0
JQ1hP617-iQ,1.0,0.0,0.0,0.0,1.0
qjfwsjflmWk,1.0,0.0,0.0,0.0,1.0
859jsQuUbhg,2.0,0.0,0.0,0.0,2.0
yyOUsn_YpYY,3.0,0.0,0.0,0.0,3.0
tGsOX6v9j9Q,1.0,0.0,0.0,0.0,1.0
PMFZl9WQL-E,1.0,0.0,1.0,0.0,2.0
RBY1sQTAOuc,1.0,0.0,0.0,0.0,1.0
euswgQwXXTI,1.0,0.0,0.0,0.0,1.0
iF6Hmc8Ui6A,1.0,0.0,0.0,0.0,1.0
nAg6DNWwUkI,3.0,0.0,0.0,0.0,3.0
cHwirSio5os,2.0,0.0,0.0,0.0,2.0
JepXeXmEh5o,2.0,0.0,0.0,0.0,2.0
twFq7B-A6kA,1.0,0.0,0.0,0.0,1.0
8hKbIhrb1WU,1.0,1.0,3.0,12.0,17.0
dxicBvXv-DM,1.0,0.0,0.0,0.0,1.0
eeAr4qfZgbw,1.0,0.0,0.0,0.0,1.0
j_ACW9yAva0,2.0,0.0,0.0,0.0,2.0
bg3hJuBtE-8,1.0,0.0,2.0,0.0,3.0
XQI1b6VVb6g,1.0,0.0,5.0,0.0,6.0
sV3TdMAywPU,1.0,0.0,0.0,0.0,1.0
FOiNdxPwp6c,1.0,0.0,0.0,0.0,1.0
o1iu_dPG_Fo,2.0,0.0,0.0,0.0,2.0
aiS56O2_xzE,2.0,0.0,0.0,0.0,2.0
pxXYmT6O6DA,1.0,0.0,0.0,0.0,1.0
vhIdsFAGQuE,2.0,0.0,0.0,0.0,2.0
5LI5VMbJVOc,2.0,0.0,2.0,0.0,4.0
PEqVa37qamw,1.0,0.0,0.0,0.0,1.0
-4NbAU8JFXQ,1.0,0.0,0.0,0.0,1.0
xcwilfhFGg4,1.0,0.0,0.0,0.0,1.0
XITzQPy4lMM,2.0,0.0,0.0,0.0,2.0
tkLZCBWLNzY,1.0,0.0,0.0,0.0,1.0
Gc_BnMrFhPc,2.0,0.0,3.0,0.0,5.0
h3q98ePhQxI,1.0,0.0,0.0,0.0,1.0
